Side,Stand,Trap,X,Y,UTM_E,UTM_N
E,AB08,1,38.8,57.5,611376.5256,5197320.659
E,AB08,2,45.2,58.1,611374.6974,5197314.496
E,AB08,3,48.7,60.2,611375.3418,5197310.466
E,AB08,4,51.8,58.9,611372.9802,5197308.073
E,AB08,5,58.5,57.7,611369.3698,5197302.303
E,AB08,6,62.6,58.8,611368.8626,5197298.089
E,AO03,1,33.3,60.4,610716.0052,5186922.89
E,AO03,2,39.4,59.7,610720.1967,5186927.377
E,AO03,3,43.9,61.2,610721.6681,5186931.887
E,AO03,4,49.7,62.1,610724.395,5186937.084
E,AO03,5,53.9,62.3,610726.7328,5186940.579
E,AO03,6,57.9,62.8,610728.7105,5186944.092
E,AV02,1,41.4,61.7,610549.2548,5186601.131
E,AV02,2,44.3,62,610550.3429,5186603.835
E,AV02,3,53.4,63.5,610553.2631,5186612.584
E,AV02,4,56.7,62.5,610555.6876,5186615.036
E,AV02,5,63.4,64.1,610557.3993,5186621.708
E,AV02,6,67.2,61.6,610561.3838,5186623.902
E,PP17,1,41,56.4,606393.2276,5194426.454
E,PP17,2,45,60.3,606388.7055,5194429.735
E,PP17,3,52.2,57.8,606389.9476,5194437.254
E,PP17,4,56.9,60.6,606386.3908,5194441.411
E,PP17,5,60.9,59.4,606386.8947,5194445.557
E,PP17,6,66.4,59,606386.3557,5194451.045
E,SUNR,1,NA,NA,NA,NA
E,SUNR,2,NA,NA,NA,NA
E,SUNR,3,NA,NA,NA,NA
E,SUNR,4,NA,NA,NA,NA
E,SUNR,5,NA,NA,NA,NA
E,SUNR,6,NA,NA,NA,NA
E,TA01,1,39,62.8,610155.6379,5177436.642
E,TA01,2,46.6,62,610154.6403,5177429.065
E,TA01,3,50,61.6,610154.152,5177425.677
E,TA01,4,54.9,61.9,610154.3244,5177420.771
E,TA01,5,62,61.4,610153.6398,5177413.686
E,TA01,6,66.3,60.7,610152.8281,5177409.406
NW,AV14,1,45.7,63.8,587670.3333,5201339.716
NW,AV14,2,51.2,53.3,587664.2374,5201349.881
NW,AV14,3,55,59.2,587660.7837,5201343.772
NW,AV14,4,58.9,68.3,587657.4145,5201334.463
NW,AV14,5,65.9,64.3,587650.1957,5201338.053
NW,AV14,6,68.6,62.7,587647.408,5201339.494
NW,SPRY,1,NA,NA,NA,NA
NW,SPRY,2,NA,NA,NA,NA
NW,SPRY,3,NA,NA,NA,NA
NW,SPRY,4,NA,NA,NA,NA
NW,SPRY,5,NA,NA,NA,NA
NW,SPRY,6,NA,NA,NA,NA
NW,TO11,1,38.3,59.4,584628.9417,5205166.66
NW,TO11,2,41.1,67.6,584622.0387,5205161.423
NW,TO11,3,45.8,71.5,584615.9617,5205160.814
NW,TO11,4,50.4,71.6,584612.0905,5205163.301
NW,TO11,5,55,75.3,584606.2083,5205162.802
NW,TO11,6,57.5,76.7,584603.3527,5205163.037
SW,AE10,1,32.4,63.1,595957.4772,5180176.572
SW,AE10,2,39.4,55.1,595965.6878,5180169.82
SW,AE10,3,42.6,52.6,595969.2526,5180167.875
SW,AE10,4,47.8,52.7,595974.3667,5180168.822
SW,AE10,5,51.8,53.3,595978.2154,5180170.066
SW,AE10,6,55.9,48.4,595983.0594,5180165.9
SW,AG05,1,42.1,65,591331.9309,5177784.381
SW,AG05,2,46.8,61.1,591328.8692,5177779.097
SW,AG05,3,51.4,62.7,591331.2138,5177774.828
SW,AG05,4,58.3,60.9,591330.5895,5177767.724
SW,AG05,5,61.5,55.1,591325.4042,5177763.602
SW,AG05,6,66.8,52.1,591323.3299,5177757.876
SW,AM16,1,35.5,57.9,594862.185,5180185.733
SW,AM16,2,40.4,58,594864.8716,5180181.634
SW,AM16,3,43,63.4,594870.828,5180182.299
SW,AM16,4,47.9,60.8,594871.2267,5180176.766
SW,AM16,5,55.9,60.6,594875.3052,5180169.881
SW,AM16,6,63.9,63.1,594881.6715,5180164.429
SW,AR07,1,30.8,58.1,595590.6488,5181059.821
SW,AR07,2,35.1,59.1,595591.6863,5181064.112
SW,AR07,3,41.3,61.2,595592.5943,5181070.595
SW,AR07,4,48.4,63.4,595593.8171,5181077.927
SW,AR07,5,50.6,62.9,595595.2519,5181079.668
SW,AR07,6,55.9,63.1,595597.4533,5181084.493
SW,AV06,1,33.3,65.4,592817.9536,5181016.266
SW,AV06,2,39.5,65.9,592822.8139,5181012.384
SW,AV06,3,45.1,63.7,592825.3878,5181006.946
SW,AV06,4,45.2,62,592824.2965,5181005.638
SW,AV06,5,50.9,61.8,592828.313,5181001.589
SW,AV06,6,57.5,64.4,592834.9029,5180998.964
SW,AX15,1,41.9,53.6,589781.1601,5178094.795
SW,AX15,2,46.7,57.6,589780.2348,5178100.974
SW,AX15,3,53.1,56,589784.926,5178105.612
SW,AX15,4,58.4,55.5,589788.1059,5178109.882
SW,AX15,5,62.8,56.1,589789.8783,5178113.953
SW,AX15,6,67.9,53.6,589794.6634,5178117.013
SW,PARA,1,63,74.9,NA,NA
SW,PARA,2,56.5,74.5,NA,NA
SW,PARA,3,51.5,75.5,NA,NA
SW,PARA,4,46.1,72.8,NA,NA
SW,PARA,5,41.4,72.7,NA,NA
SW,PARA,6,35.3,66.9,NA,NA
SW,TB13,1,40.2,56.3,588000.3899,5176964.895
SW,TB13,2,45.8,58.7,588002.2082,5176959.08
SW,TB13,3,52.5,58,588000.8306,5176952.486
SW,TB13,4,57.6,58.1,588000.4116,5176947.403
SW,TB13,5,62.6,61.8,588003.5841,5176942.052
SW,TB13,6,66.3,62.1,588003.5064,5176938.341
SW,TO04,1,39.3,62.2,584941.0377,5176928.761
SW,TO04,2,46.2,60.6,584947.6042,5176926.106
SW,TO04,3,51.2,61.5,584952.6834,5176926.216
SW,TO04,4,56,62.6,584957.5961,5176926.555
SW,TO04,5,61.2,64.8,584963.0754,5176927.918
SW,TO04,6,64.3,69,584966.7918,5176931.583
